itemsNumber		totalSize			nextFit			sortedNextFit			FirstFit			sortedFirstFit			BestFit			sortedBestFit			WorstFit			sortedWorstFit			FullFit			sortedFullFit			modFullFit			sortedModFullFit		
20000		1056402			0.413089			0.284514			86.058868			99.972556			103.855422			136.318739			121.524043			148.937501			16163			21840			13266			17049		
20000		1049825			0.390519			0.524812			86.773709			99.269169			100.92307			142.622993			110.101052			154.674027			17332			23068			14903			16868		
20000		1051698			0.357231			0.277703			87.754006			106.915277			102.959696			145.873728			118.841564			180.378769			16575			21852			14102			18624		
20000		1050964			0.36848			0.535025			96.550996			93.801605			97.453856			137.36451			112.794449			152.023241			16995			23011			14336			18090		
20000		1057558			0.41176			0.276255			87.828116			93.527554			107.290399			136.379041			122.621049			148.824242			17017			21920			14861			16207		
20000		1058062			0.35655			0.276792			92.166613			93.22602			98.477695			132.537823			117.630541			150.501551			15761			22091			13996			15807		
20000		1056870			0.36088			0.221238			89.235038			98.295541			110.202904			139.057399			116.702631			154.5481			17036			23487			14549			18036		
20000		1051994			0.50244			0.322314			85.131674			102.687561			100.645912			135.562392			115.031415			148.01436			16645			23336			14741			16187		
																																								
																																								
																																								
																						nextFit	0.3630653	0.5518293	0.1980357	0.2590167	0.3901562													
																						sortedNextFit	0.28204	0.5036552	0.1786618	0.2000343	0.3274922													
																						FirstFit	1.2188171	2.0010774	6.12305	23.746401	88.9993833													
																						sortedFirstFit	0.6698177	2.2741017	6.7364888	26.9035965	99.3158689													
																						BestFit	1.46352	2.4565043	6.9214129	28.1289349	102.9996658													
																						sortedBestFit	0.8477704	3.2678614	10.3957893	39.3237881	139.0397422													
																						WorstFit	1.5710572	2.5420587	7.8721394	31.7711248	116.1468916													
																						sortedWorstFit	0.9364722	3.4367828	11.6971869	44.455848	155.1089519													
																						FullFit	78.3	252.1	1005.2	3905.6	16337.6													
																						sortedFullFit	90.9	337.7	1377.5	5304.6	22271.4													
																						modFullFit	66.5	228.6	910.9	3439.4	14157.6													
																						sortedModFullFit	64.9	244.7	991.6	3928.8	16841.5													
																																								
																																								
																							0.236476134	0.5518293	0.1980357	0.2590167	0.3901562													
																							0.020068798	0.264660917	0.140830556	0.104395653	0.109416859													
																							2.036829253	0.491571765	0.638484919	1.596063308	3.313383239													
																							0.148123145	0.954702652	1.371751332	2.558093147	4.656085499													
																							2.334397388	0.532557613	0.628733692	2.376994296	3.977116325													
																							0.072676672	0.66208736	1.661004338	2.585561721	4.157058025													
																							2.411713902	0.626331547	0.772904844	2.405446704	4.057014535													
																							0.029153509	0.693370472	2.676418527	1.69715094	9.47453299													
																							26.82473982	6.172519745	24.18355732	231.9847696	873.6537834													
																							9.255028663	16.83283828	67.10894956	162.5096236	901.3816802													
																							7.106335202	8.996295534	88.75615785	132.861833	632.7883971													
																							4.817791103	13.58962022	27.84560608	223.2770078	1086.325432													
